week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits
02-01-2017,0.01,0,0.01,0,2367.4,0.06,16089.49,0.01,0,2369.39,0,0,0,0,0,0,0,0,21274,0,186007
09-01-2017,0,0,0.01,0,2785.65,0.05,11618.44,10034.99,0,2470.6,0,0,0,0,0,0,0,0,41976,15539,141778
16-01-2017,0,0,0.01,0,2708.31,0.08,10388.53,6955.56,0,2470.6,0,0,0,0.01,0,0,0,0,24593,0,130202
23-01-2017,0,0,0,0,2473.94,0.08,9699.73,4630.01,0,2470.6,0,0,0,0.01,0,0,0,0,6784,0,111688
30-01-2017,0,0,0.01,0,618.99,0.01,6182.01,2911.88,0,2463.25,0,0,0,0,0,0,0,0,23766,0,81460
06-02-2017,319.05,0,0.01,0,4.19,0.01,3034.42,605.48,0,1954.8,0,0,0,0,0,0,0,0,17831,207,60139
13-02-2017,569.36,0,0.01,0,5.41,0,3856.28,0,0,1954.8,0,0,0,0,0,0,0,0,43206,2,60315
20-02-2017,9025.68,0,142.3,0,2.03,22.43,4816.22,0,0,84603.24,0,0,0,0,0,0,0,0,49910,28929,72043
27-02-2017,8005.92,0,2529.44,0,10.86,25.83,5907.24,0,9000,61599.48,0,0,0,0,0,0,0,0,28919,0,76102
06-03-2017,1026.42,0,857.08,0,0.35,0,3991.23,0,2500,2582.74,0,0,0,0,0,0,0,0,25931,0,56577
